step,_step,train_loss,id_kl,ood_kl,kl/id/misspec/generalising,kl/id/misspec/memorising,kl/id/wellspec/generalising,kl/id/wellspec/memorising,kl/ood/misspec/generalising,kl/ood/misspec/memorising,kl/ood/wellspec/generalising,kl/ood/wellspec/memorising
1,0,2.5684778690338135,0.5851190477609635,0.624111607670784,0.14504650235176086,0.13130086660385132,0.3769708275794983,0.5238526463508606,0.15513871610164642,0.125028595328331,0.38979068398475647,0.46100106835365295
200,1,2.271007776260376,0.4892814517021179,0.5082391172647476,0.013001546263694763,0.013295408338308334,0.2551366090774536,0.3999905288219452,0.017216209322214127,0.018776224926114082,0.26424556970596313,0.33467090129852295
400,2,2.2551097869873047,0.49103702902793883,0.505078238248825,0.019872013479471207,0.018888385966420174,0.2379486858844757,0.37343254685401917,0.022555356845259666,0.0280528012663126,0.27189213037490845,0.3475590944290161
600,3,2.2337327003479004,0.461791530251503,0.526713815331459,0.03464232012629509,0.035045064985752106,0.2372557818889618,0.35646164417266846,0.036726243793964386,0.042383335530757904,0.2884603440761566,0.3717634677886963
800,4,2.2241029739379883,0.4234763830900192,0.4951227128505707,0.0492989607155323,0.048728588968515396,0.21751776337623596,0.3255062699317932,0.04999229684472084,0.05135229229927063,0.3073123097419739,0.4034837484359741
1000,5,2.210625648498535,0.4221165686845779,0.5123982042074203,0.06780487298965454,0.0657976046204567,0.20521120727062225,0.31493282318115234,0.057078734040260315,0.0595085471868515,0.29116323590278625,0.377000093460083
1200,6,2.198852062225342,0.30883763283491134,0.4888118028640747,0.06479847431182861,0.06234283745288849,0.21697162091732025,0.33392560482025146,0.07594382762908936,0.07364107668399811,0.33712881803512573,0.3968593180179596
1400,7,2.1667532920837402,0.3831670179963112,0.5502184152603149,0.08193382620811462,0.07969415932893753,0.2022436559200287,0.2936457395553589,0.08773112297058105,0.08595879375934601,0.3358861804008484,0.4229966402053833
1600,8,2.164397716522217,0.31335087567567826,0.5927239120006561,0.10141979902982712,0.09716521203517914,0.18431010842323303,0.27230697870254517,0.0987480878829956,0.0946837067604065,0.3350687623023987,0.40269792079925537
1800,9,2.1457340717315674,0.3410820305347443,0.579323148727417,0.12752309441566467,0.12276957929134369,0.16835051774978638,0.25350621342658997,0.09883320331573486,0.09635203331708908,0.32876938581466675,0.40608492493629456
2000,10,2.1400277614593506,0.25907684937119485,0.6016888707876206,0.15065082907676697,0.14546404778957367,0.1477971076965332,0.21191951632499695,0.11181797087192535,0.10444018244743347,0.36093857884407043,0.43038704991340637
2200,11,2.1259701251983643,0.23549920171499253,0.5737599521875382,0.13649523258209229,0.1311386525630951,0.1622650921344757,0.22983042895793915,0.11088022589683533,0.10820840299129486,0.37244150042533875,0.4259752035140991
2400,12,2.1329379081726074,0.2621651843190193,0.640169620513916,0.12485243380069733,0.12123490869998932,0.18464085459709167,0.27496305108070374,0.11701193451881409,0.1115977019071579,0.37064051628112793,0.4651268720626831
2600,13,2.115004777908325,0.22744979560375214,0.5984797447919845,0.13191983103752136,0.12850221991539001,0.16692689061164856,0.25582534074783325,0.1236976832151413,0.11886470764875412,0.35518699884414673,0.4337756037712097
2800,14,2.1296019554138184,0.2192330352962017,0.5810683131217956,0.14432528614997864,0.1389043927192688,0.14819270372390747,0.21066471934318542,0.13663271069526672,0.12843991816043854,0.3737422525882721,0.43926677107810974
3000,15,2.1296491622924805,0.1761360213160515,0.5196013450622559,0.1533976048231125,0.14697307348251343,0.17210420966148376,0.25087618827819824,0.1465020775794983,0.13854676485061646,0.38101261854171753,0.4184839427471161
3200,16,2.0913615226745605,0.2949430912733078,0.5921964347362518,0.16269010305404663,0.15888658165931702,0.1422925889492035,0.20546874403953552,0.12111116945743561,0.11628340184688568,0.3682098984718323,0.4385250210762024
3400,17,2.114790201187134,0.21979250982403756,0.6283328473567963,0.1723605990409851,0.16802486777305603,0.1442643404006958,0.20535260438919067,0.13619464635849,0.12918034195899963,0.38665565848350525,0.4633830189704895
