theta_star,num_ones,num_zeros,alpha_post,beta_post,posterior_mean_pmc,posterior_mean_beta
0.1,2,30,3.0,31.0,0.09263071417808533,0.08823529411764706
0.2,5,27,6.0,28.0,0.18107883632183075,0.17647058823529413
0.3,16,16,17.0,17.0,0.490813285112381,0.5
0.4,11,21,12.0,22.0,0.3482053875923157,0.35294117647058826
0.5,13,19,14.0,20.0,0.40415146946907043,0.4117647058823529
0.6,20,12,21.0,13.0,0.6079564094543457,0.6176470588235294
0.7,23,9,24.0,10.0,0.6954564452171326,0.7058823529411765
0.8,26,6,27.0,7.0,0.7876265645027161,0.7941176470588235
0.9,25,7,26.0,8.0,0.753892183303833,0.7647058823529411
