step,ed_vs_baseline_generalising,sw_vs_baseline_generalising,ed_vs_baseline_memorising,sw_vs_baseline_memorising,ed_vs_baseline_generalising_from_prompts_generalising,sw_vs_baseline_generalising_from_prompts_generalising,ed_vs_baseline_memorising_from_prompts_generalising,sw_vs_baseline_memorising_from_prompts_generalising,ed_vs_baseline_generalising_from_prompts_memorising,sw_vs_baseline_generalising_from_prompts_memorising,ed_vs_baseline_memorising_from_prompts_memorising,sw_vs_baseline_memorising_from_prompts_memorising,delta_vs_baseline_generalising_on_data_memorising,delta_vs_baseline_memorising_on_data_memorising,delta_vs_baseline_generalising_on_data_generalising,delta_vs_baseline_memorising_on_data_generalising
121,0.003540635108947754,0.015024714418836418,0.005023598670959473,0.015649507165704873,0.06523144885431975,0.0299026451580664,0.14216801733709872,0.039597639444299323,0.058059233822859824,0.02880832742602671,0.15496798767708242,0.0395306692106497,0.044627342373132706,0.05587264895439148,0.05069771036505699,0.05273231118917465
162,0.019268184900283813,0.026336128931505262,0.011514157056808472,0.021495812106417538,0.08348575315903872,0.03444224900387881,0.14429537701653317,0.040474740879870644,0.07915410911664367,0.033818817025229084,0.16096396069042385,0.04014218606877157,0.051967836916446686,0.05136887729167938,0.058336593210697174,0.04896406829357147
217,0.009364545345306396,0.018326611884943157,0.004454255104064941,0.01528009811116335,0.07346757466439158,0.031828262634132076,0.12275349389528856,0.03648620115208531,0.060694710933603346,0.02918976203958704,0.13168160011991858,0.03527455342197405,0.05029594153165817,0.043034184724092484,0.05721624195575714,0.042976152151823044
289,0.017205864191055298,0.024728909665256527,0.009188443422317505,0.01985291175707506,0.07680724014062434,0.03285989046400382,0.11371008091373369,0.03562578557950749,0.0676596841076389,0.030888719640046212,0.12513118036440574,0.03462481045154388,0.052430037409067154,0.03718689829111099,0.05807255208492279,0.037274979054927826
387,0.002339869737625122,0.015156048699196251,0.0035504400730133057,0.014700870360002989,0.07322022353764623,0.03257367777932624,0.11434857471613213,0.035786936177858816,0.06367087305989116,0.03039800100736533,0.11345310680917464,0.033027193642570445,0.054261911660432816,0.03222839534282684,0.060012295842170715,0.03460709750652313
500,0.009615808725357056,0.020118523824864613,0.007031053304672241,0.017553199429792377,0.07967883732635528,0.033439950010225525,0.10570168402045965,0.03429409357090218,0.06981190748047084,0.03106564731711151,0.10387889706180431,0.03122374698377444,0.060582734644412994,0.03185001760721207,0.06719914823770523,0.03537680208683014
651,0.009488910436630249,0.01940583853164732,0.0064420998096466064,0.017904538136597366,0.0771432084729895,0.0334512027035624,0.09952720266301185,0.03349292332469983,0.07292836310807616,0.031879432661818405,0.09972982315230183,0.030572068401515266,0.05885037034749985,0.02486017346382141,0.06313558667898178,0.028194883838295937
870,0.0016935467720031738,0.014201163010108552,0.005954265594482422,0.0157342368462175,0.08014385600108653,0.03373020116768151,0.0897200767067261,0.031126942203567293,0.06834304647054523,0.030793700341097838,0.08950170056778006,0.028557615276880027,0.06330621242523193,0.02243899367749691,0.06936220079660416,0.02484794333577156
1096,0.0019484758377075195,0.014296711044409566,0.00208967924118042,0.014219095628252213,0.07800502714235336,0.033293384447227264,0.08455195918213576,0.030692653294072177,0.07310445082839578,0.03176309306528508,0.07860259278095327,0.02666930691786877,0.0647367313504219,0.019178524613380432,0.06934940814971924,0.02302085980772972
1464,0.005915910005569458,0.017969015578148687,0.0040679872035980225,0.01678382938691354,0.08556272101122886,0.03455795981995542,0.06950042711105198,0.027737743156965224,0.07775212579872459,0.03252167805485118,0.07041395286796615,0.02519814166822635,0.06772666424512863,0.01600601151585579,0.0714203491806984,0.01894303970038891
1846,0.009914308786392212,0.019579217244580272,0.0054992735385894775,0.01766775654026402,0.09455413243267685,0.036603155947927235,0.07072434286237694,0.02786443585214328,0.0856744124321267,0.03443340986044023,0.06770638667512685,0.02430267429385417,0.0742046982049942,0.014305617660284042,0.08094517886638641,0.019441068172454834
2327,0.0018610954284667969,0.014223980225958412,0.0006201863288879395,0.013209104777058712,0.0950830455403775,0.036419859674022094,0.05856831173878163,0.025365442947396268,0.08746795798651874,0.03451259731412073,0.05910249426960945,0.02264573173843567,0.07558179646730423,0.013773197308182716,0.07761736214160919,0.017745662480592728
2933,0.005301535129547119,0.015966280597390064,0.0004731416702270508,0.013076941561721272,0.09712187270633876,0.036779779767010135,0.054517210577614605,0.024268691657652712,0.08999564161058515,0.03490633673720455,0.052258416631957516,0.020942156141472934,0.07181815803050995,0.011153561994433403,0.0773693099617958,0.015237444080412388
3500,0.00017693638801574707,0.013187805938685803,0.0014403164386749268,0.0134014572187028,0.09611672337632626,0.037110522000503965,0.04868501357850619,0.02329500271236853,0.09030755970161408,0.034986579603690976,0.05267815160914324,0.02118988933790294,0.07130282372236252,0.010751438327133656,0.07333524525165558,0.014188856817781925
4397,0.0013649165630340576,0.014881438172759675,0.0021067559719085693,0.014449674464317332,0.09475952002685517,0.03641158671975114,0.042295469698728994,0.021654512497003973,0.089369946741499,0.034518424914662525,0.04782429579063319,0.020106729290050775,0.07528360188007355,0.00956670381128788,0.07722051441669464,0.012670518830418587
5231,0.006349384784698486,0.016401425762820176,0.002024054527282715,0.014180759459180469,0.09518578613642603,0.03656539949650672,0.04724637491744943,0.02267260123397018,0.09189946192782372,0.03516204649041513,0.05000856233527884,0.02035358840767216,0.0729471743106842,0.011389942839741707,0.07650788128376007,0.01414722390472889
6222,0.004340678453445435,0.0157175889160414,-0.0010259449481964111,0.010428644301441008,0.09799207630567253,0.03683683368993636,0.03995295689674094,0.02107240375271481,0.09631246153730899,0.03609683744316857,0.04073446929396596,0.01818085007678784,0.07420389354228973,0.008296528831124306,0.07639315724372864,0.011895514093339443
7401,0.0028394758701324463,0.014974432604522615,0.0006370246410369873,0.013378558335317094,0.10136913415044546,0.03771367698991657,0.03920836449833587,0.020845676914232718,0.09577915782574564,0.03610720434285222,0.04249259116477333,0.018750620105886677,0.06868276000022888,0.007893409579992294,0.07362096756696701,0.01125054806470871
8500,0.004776507616043091,0.015970499235545905,0.0029285848140716553,0.015062948326376627,0.102655527764,0.03775710144478292,0.036423635203391314,0.019963182640361454,0.096864617546089,0.036308161403884,0.03978621985879727,0.017721754643318474,0.07190880924463272,0.007271726615726948,0.07431238889694214,0.010272132232785225
9884,0.0023096203804016113,0.014921348844929492,0.0020975470542907715,0.013923211828459934,0.10665373736992478,0.03803779378197414,0.03420382083277218,0.019225784446882,0.10380223079118878,0.037234831075658475,0.03817258239723742,0.017318684811742032,0.07926160842180252,0.0072878701612353325,0.07966095209121704,0.008573032915592194
11097,0.00526079535484314,0.01610662264055681,0.0013897120952606201,0.01390966253310325,0.10850603110156953,0.03865720518838504,0.0324562412861269,0.01856690444287879,0.10111264593433589,0.03699804612620618,0.035960555396741256,0.016782250933869237,0.07417342811822891,0.0065391650423407555,0.07793255150318146,0.008535981178283691
12500,-0.0006765425205230713,0.012960996285694755,0.0012598931789398193,0.013304113801156939,0.1060809480259195,0.03828264875064742,0.03074014518642798,0.018046872296756812,0.09920358832459897,0.03658035844351187,0.03714740724535659,0.016854277388222788,0.07478486001491547,0.005390510894358158,0.07588283717632294,0.00739647913724184
14000,0.008894115686416626,0.01818098464146607,0.006711870431900024,0.016745723491603862,0.10527353314682841,0.03791570825792538,0.03255819375044666,0.018416384781873227,0.10409644956234843,0.037549728109177435,0.036389330198289827,0.01680237531635565,0.07688502967357635,0.006177919451147318,0.07909329235553741,0.008057225495576859
15702,0.0010655522346496582,0.013930296513779831,0.0018966197967529297,0.01270251141763225,0.10433856921736151,0.03806420242933678,0.03281375189544633,0.01881356463788278,0.10541676834691316,0.037907793777034654,0.03545961083727889,0.016324840680677223,0.07345674186944962,0.005913985893130302,0.0764542669057846,0.007917150855064392
17500,0.003090977668762207,0.015688756139940783,0.0011875629425048828,0.013566672591159694,0.10939183854497969,0.038607259647006044,0.030461304442724213,0.017794706018015208,0.10302877647336572,0.037159988773403374,0.036113573572947644,0.016556988765712845,0.0733180120587349,0.004739691503345966,0.07835879921913147,0.006720207165926695
19000,0.00022664666175842285,0.013746950225002923,0.0024514496326446533,0.014548443533009443,0.1097257089568302,0.038817479153950486,0.0279331085330341,0.01734819699570204,0.10053884040098637,0.03686726748744555,0.03484789215144701,0.016433499573314213,0.07498013973236084,0.0041360496543347836,0.07789479196071625,0.005832927767187357
20970,0.0023097991943359375,0.014523310929399971,0.0005241036415100098,0.0129209572893662,0.11065423919353634,0.03868465180488679,0.034184949297923595,0.019069472348663387,0.10224810207728297,0.03721784804200012,0.036060056678252295,0.016702603240938536,0.07482187449932098,0.004758157301694155,0.07759194076061249,0.007013404276221991
22500,0.002842247486114502,0.01520525330371114,0.005334138870239258,0.014565497764342027,0.1084817637456581,0.0386814273165725,0.029259614064358175,0.017491253086712493,0.10645035409834236,0.03809038950352603,0.032405824938905425,0.015541169861934642,0.07496581971645355,0.004173585679382086,0.07806789129972458,0.005754156969487667
24500,0.0011117756366729736,0.0141103747515056,0.0032719075679779053,0.01476838358480473,0.10783133970107883,0.038479261790671584,0.029327500116778538,0.01748494931534729,0.1064475200837478,0.037868892416316906,0.03263816227263305,0.015605538054319554,0.07311691343784332,0.004037480801343918,0.07479837536811829,0.005695587955415249
26430,0.0036803483963012695,0.014938541324112072,-0.00016957521438598633,0.012023995559878686,0.11025764304213226,0.03882389202415924,0.02864083429449238,0.017337349571775504,0.102556730969809,0.03729241400129536,0.03370224102400243,0.015959072500833144,0.07709595561027527,0.0042627546936273575,0.08065026998519897,0.0059434338472783566
28005,0.004559159278869629,0.01608460279758703,0.001292884349822998,0.013220748063574603,0.11049418512266129,0.039001020730232726,0.02789403186761774,0.017261881276172297,0.10533233231399208,0.03775919588676907,0.03468190351850353,0.016285150983855134,0.07176132500171661,0.004529409110546112,0.0767616480588913,0.00550065515562892
30000,0.0033490359783172607,0.015411678974274519,0.0013462603092193604,0.013398371679606343,0.10713086882606149,0.03814814334852648,0.029657912644324824,0.01768689722927959,0.10312320094089955,0.03735134630212711,0.03362827145610936,0.016067027879923854,0.07307776808738708,0.0041829003021121025,0.07561305165290833,0.005622933618724346
32000,0.002311021089553833,0.013715041654947281,0.0005873739719390869,0.012680688259314074,0.11149980349000543,0.03900409742492622,0.02762101896223612,0.016814758351921148,0.10247547889593989,0.03709715715939195,0.032851768148248084,0.01579515615611183,0.07649704068899155,0.003618570975959301,0.08012869209051132,0.004624729510396719
34000,-0.0005961060523986816,0.01239435867692275,0.0013363957405090332,0.014229365374683717,0.11271855409722775,0.03949242609703775,0.02919033111538738,0.01745595354615717,0.10712189285550267,0.03811183015099377,0.03389538175542839,0.016086222953278266,0.08237884938716888,0.00429591303691268,0.08426466584205627,0.006495888344943523
36000,0.0015868544578552246,0.013383222570090574,2.9325485229492188e-05,0.012427725179358196,0.11188551143277436,0.03906299514759913,0.027440645586466417,0.016927046486770275,0.1043826142558828,0.037636990994402084,0.03114527143770829,0.015233667527477183,0.07848848402500153,0.0031514419242739677,0.08100900799036026,0.004759080242365599
38000,-9.956955909729004e-05,0.01276091091324439,0.0003940165042877197,0.011923284702586778,0.10883946914691478,0.038538659562618816,0.028071809065295383,0.017130791480448722,0.10393462411593646,0.03747607185408457,0.03282905867672525,0.015850060862638876,0.07404063642024994,0.003127574920654297,0.07735420763492584,0.004109483677893877
40000,0.0026630163192749023,0.014924522877164581,0.0002473592758178711,0.01259564814267844,0.10861928144004196,0.03857483703957022,0.02672200123197399,0.01667211420466822,0.10307900456245989,0.03727369127989494,0.030944234647904523,0.015321611965303097,0.07168793678283691,0.0036665997467935085,0.07563989609479904,0.004351124633103609
42000,-0.00030282139778137207,0.012804099523286695,0.0003367960453033447,0.012724196963780784,0.10827718884684145,0.038552494178780414,0.02925318168126978,0.01768349410150799,0.10280309978406876,0.0372565354482122,0.03215710689255502,0.015724259109194172,0.07375763356685638,0.003104418981820345,0.07604776322841644,0.0042920419946312904
44487,0.00560799241065979,0.016836958192348567,0.010355085134506226,0.018180719622351085,0.11069092049729079,0.03871587847304545,0.025774579989956692,0.016364688698391715,0.10484910209197551,0.037646301931004315,0.03230333350074943,0.015583141645081728,0.07888163626194,0.0027830933686345816,0.08054906129837036,0.004064056556671858
46500,0.0001170039176940918,0.013607071038976723,-0.00020694732666015625,0.012546303846612537,0.11305316945072263,0.03934473503460689,0.029770434222882614,0.017732782999857546,0.10184977191966027,0.03712537446656351,0.03230560623342171,0.015545339669623619,0.07237087190151215,0.0038530437741428614,0.07805860787630081,0.00509008439257741
48500,0.002402693033218384,0.014812077513741712,0.0005656778812408447,0.013302122921797926,0.11322101193945855,0.03933770682644804,0.026492251286981627,0.01670521074289518,0.10813440347556025,0.0381373841282358,0.030725732067367062,0.014814092709825826,0.07991345226764679,0.00268616434186697,0.08210757374763489,0.0040623643435537815
50500,0.00070914626121521,0.013763031627327983,0.0020836293697357178,0.015097654385738301,0.11435186234302819,0.03953658348467515,0.027228561841184273,0.016665408332587724,0.10751801880542189,0.03815816301493713,0.03216566570335999,0.0152744206654962,0.07680042088031769,0.0031428192742168903,0.07848190516233444,0.004084422253072262
52919,0.0023923516273498535,0.014413942989379218,-0.0009592175483703613,0.011530178636501671,0.11005918751470745,0.03877316667035225,0.027425831503933296,0.016722405955104665,0.10494194168131799,0.03774578137727004,0.03138739509449806,0.015347253692363089,0.07507726550102234,0.0025137844495475292,0.077858105301857,0.003362321760505438
55000,0.0032845735549926758,0.014632261401467611,-0.0008422136306762695,0.011969902916697386,0.11296301649417728,0.03952535469821611,0.02857166968169622,0.017402072006177195,0.10162923962343484,0.03710829089348215,0.03362636943347752,0.015833538471975973,0.0768587589263916,0.003680154215544462,0.08064980804920197,0.004718671087175608
57000,0.00325775146484375,0.015621642784269828,0.0019216537475585938,0.01453040330585888,0.11172375455498695,0.0387481271186577,0.02731485103140585,0.016827663093303018,0.1056026864098385,0.037688817875164204,0.029623664362588897,0.01483545508094285,0.0774613469839096,0.002342255786061287,0.07854406535625458,0.0033172653056681156
59411,0.006929963827133179,0.017952163209829813,0.0008751451969146729,0.013879130636887843,0.11178576096426696,0.03918220753255082,0.02956436268868856,0.017384964716949523,0.1062164061004296,0.037763083068473986,0.030760643086978234,0.015285408018951178,0.07666623592376709,0.0027972212992608547,0.07937376946210861,0.004035599529743195
61500,0.004172861576080322,0.015363793205069382,0.0018467307090759277,0.014344795788463158,0.11333306517917663,0.03923706655343951,0.02767884431523271,0.01702576484986565,0.10357825818937272,0.03753523435504054,0.032181512855459005,0.015520592578280172,0.07698424160480499,0.002875951351597905,0.07925264537334442,0.00411626324057579
63500,0.0013909637928009033,0.013164887408837658,0.0019369423389434814,0.014786259996535465,0.10971463308669627,0.03888502839379342,0.028589422960067168,0.01739728623608148,0.10551414953079075,0.03760676657120384,0.030536299498635344,0.015219508790886708,0.07741785049438477,0.0026290654204785824,0.07993742823600769,0.003920413088053465
66000,0.005032062530517578,0.016239521121695657,0.0008341670036315918,0.013614347639448798,0.1109110526740551,0.03902389095243434,0.02911095306626521,0.017700763070427762,0.1046760497847572,0.03759763374620133,0.03078380078659393,0.015314428472992263,0.07808425277471542,0.002589020412415266,0.08010444045066833,0.004376410506665707
68000,0.002705872058868408,0.014983076216846091,0.0017085671424865723,0.013708681793269334,0.11135131458286196,0.039196343164446035,0.024958713009255007,0.016189959242848224,0.10781497170682997,0.03809301419419921,0.031088788498891518,0.015145757947293127,0.0764494314789772,0.002295144833624363,0.07697397470474243,0.0031663335394114256
70500,0.0047900378704071045,0.017157827449436024,0.0002913177013397217,0.013680128897000338,0.11161021736916155,0.0390969660741045,0.025606834184145555,0.016306400755729766,0.10719774116296321,0.038049232917923295,0.030843654109048657,0.015121281595216588,0.07693207263946533,0.002459049690514803,0.07891043275594711,0.0032607950270175934
72500,0.005639940500259399,0.016933107561551638,-0.0001214444637298584,0.01203801281226559,0.11255580454599112,0.03925013403181048,0.027083931752713397,0.016709588887787195,0.10848483082372695,0.03825263047746712,0.03081804674002342,0.01512542726586661,0.07743431627750397,0.002299310639500618,0.08012165129184723,0.0033090319484472275
74881,0.0036895275115966797,0.01550447964370317,0.0016425251960754395,0.014031882705502687,0.11133007030002773,0.03905204432696687,0.0263862932624761,0.016570275545613692,0.10507834597956389,0.03759085802505794,0.0309071504016174,0.015198756140930733,0.07577580213546753,0.002602533670142293,0.07929764688014984,0.0035986187867820263
77000,0.005405902862548828,0.016835971839807302,0.004494011402130127,0.01486784893327558,0.11222762218676507,0.039182013911486534,0.02643386644194834,0.016682184047442625,0.10525300202425569,0.0376576728764564,0.03042466929764487,0.015040303098011508,0.0777692124247551,0.0024517688434571028,0.07897714525461197,0.0034172730520367622
79340,0.001886904239654541,0.014816188359812221,0.0016047954559326172,0.014118899323364601,0.11234588047955185,0.03920048744125816,0.026431517821038142,0.016408892361256627,0.10794451262336224,0.0381963279247202,0.029784031459712423,0.014734935523228916,0.07790996879339218,0.00271272542886436,0.07948876917362213,0.0037080489564687014
81500,0.00345456600189209,0.016200662910741282,0.003948688507080078,0.01583335507637981,0.11039137758780271,0.03871642046281743,0.026960274000884965,0.016570688514279373,0.10555908258538693,0.037593010134795934,0.031426894580363296,0.015380559710135588,0.07584575563669205,0.0027968082576990128,0.07875652611255646,0.003529277630150318
84000,0.0026729702949523926,0.015503354638934819,0.002802729606628418,0.014581264706708752,0.10965055390261114,0.03860119050409551,0.025304059585323557,0.016359283794773402,0.10824661201331764,0.03827782700828653,0.029698143218411133,0.014755001956048027,0.07802526652812958,0.002153624314814806,0.07932735234498978,0.0029607166070491076
86000,0.0010883212089538574,0.014099954553223987,0.002293705940246582,0.014073126235853863,0.110612838761881,0.03880867417257854,0.026029434375232086,0.016605375615963244,0.10606170527171344,0.03767630245663575,0.029779330943711102,0.01492641043779536,0.07720053195953369,0.0022301666904240847,0.08074912428855896,0.0035032210871577263
88500,0.007594883441925049,0.018421935190521935,0.004409730434417725,0.01708013407697741,0.11085704946890473,0.038952528409582576,0.024539444217225537,0.015862986529046778,0.10566528036724776,0.03777802380711098,0.029319965033209883,0.014655381040341588,0.07416359335184097,0.0018754699267446995,0.07690724730491638,0.002513948595151305
90500,0.0031217634677886963,0.015427507649448382,0.005053311586380005,0.017634360525940522,0.11106252251192927,0.03882415965739553,0.025586925592506304,0.016305594348368417,0.10189223347697407,0.03705443683379056,0.0325715843209764,0.015615670887484757,0.07596820592880249,0.0026457165367901325,0.07783384621143341,0.003252569818869233
93000,0.002081573009490967,0.014668408459990399,0.0012946128845214844,0.014162141281468836,0.11064617685042322,0.03875208377329694,0.026193531841272488,0.016494822358364268,0.10823442821856588,0.03820704730515447,0.029617532694828697,0.01475365183980226,0.0770644098520279,0.0022813472896814346,0.07698987424373627,0.002816359046846628
95000,0.006479740142822266,0.016166326193557526,0.0008295774459838867,0.012926561828910752,0.11324080685153604,0.039234373855021334,0.024657521775225177,0.01605220211154237,0.1061341887107119,0.0377891548515113,0.02998962030687835,0.014912205826131335,0.0767386332154274,0.002261679619550705,0.0791039764881134,0.0031377363484352827
97500,0.0018928349018096924,0.013812415252649042,0.0010460317134857178,0.013197127646638409,0.1135362497298047,0.039314637126604005,0.024434906925307587,0.015846992129520378,0.10652626364026219,0.037920161490443166,0.029677775950403884,0.014653995640502952,0.07822160422801971,0.0019701048731803894,0.07994650304317474,0.002394692739471793
100000,0.005201518535614014,0.015809380522704287,-7.49826431274414e-05,0.0127118917138848,0.11451414611656219,0.039570080496032715,0.026216298603685573,0.016453125781284727,0.10770945681724697,0.038109375530783474,0.029254153312649578,0.014674476293239043,0.0758662074804306,0.0022124690003693104,0.0799005851149559,0.003626943100243807
