step,prompt_source,prompt_idx,ed_vs_baseline_generalising,sw_vs_baseline_generalising,ed_vs_baseline_memorising,sw_vs_baseline_memorising,ed_vs_baseline_generalising_from_prompts_generalising,sw_vs_baseline_generalising_from_prompts_generalising,ed_vs_baseline_memorising_from_prompts_generalising,sw_vs_baseline_memorising_from_prompts_generalising,ed_vs_baseline_generalising_from_prompts_memorising,sw_vs_baseline_generalising_from_prompts_memorising,ed_vs_baseline_memorising_from_prompts_memorising,sw_vs_baseline_memorising_from_prompts_memorising
1,prior,0,0.09420907497406006,0.04770404154440877,0.09628963470458984,0.04446483054191257,,,,,,,,
1,generalising,0,,,,,0.22071224451065063,0.06020805053191998,0.3260006904602051,0.06977307463245574,,,,
1,generalising,1,,,,,0.2190336287021637,0.05995790780462668,0.14198966324329376,0.046399526803515084,,,,
1,generalising,2,,,,,0.18299517035484314,0.05107216230125926,0.43612828850746155,0.062182822627792705,,,,
1,generalising,3,,,,,0.1274687796831131,0.04356457095725943,0.2798879146575928,0.05932217886985686,,,,
1,generalising,4,,,,,0.2779715061187744,0.062001137113152235,0.34713679552078247,0.06537619598032779,,,,
1,generalising,5,,,,,0.11774080991744995,0.04153886389045032,0.15402761101722717,0.036681437474968145,,,,
1,generalising,6,,,,,0.3340620994567871,0.07190103304908421,0.36685776710510254,0.06316693512997194,,,,
1,generalising,7,,,,,0.1264028251171112,0.04128455024376228,0.4628359079360962,0.0686276282947394,,,,
1,generalising,8,,,,,0.2741450071334839,0.05962623969893221,0.21293513476848602,0.05030266770628947,,,,
1,generalising,9,,,,,0.2151883989572525,0.058128113470404814,0.3324417471885681,0.06217544939947591,,,,
1,generalising,10,,,,,0.11800280213356018,0.04156832878405255,0.20734332501888275,0.04222408683707766,,,,
1,generalising,11,,,,,0.17595967650413513,0.04885841068798312,0.23384280502796173,0.04764453546432494,,,,
1,generalising,12,,,,,0.20741084218025208,0.05656028132310778,0.30375075340270996,0.05313677256405593,,,,
1,generalising,13,,,,,0.1227094829082489,0.04726799605649172,0.2976585030555725,0.05194789891165637,,,,
1,generalising,14,,,,,0.14826133847236633,0.04546774934510311,0.3879714608192444,0.06547419364994597,,,,
1,generalising,15,,,,,0.2886415123939514,0.06954840639092723,0.24375927448272705,0.0489005226711137,,,,
1,generalising,16,,,,,0.22262853384017944,0.05693834081091519,0.29583680629730225,0.057948804542950795,,,,
1,generalising,17,,,,,0.21773511171340942,0.05939035734174349,0.2861061096191406,0.059432813802853174,,,,
1,generalising,18,,,,,0.2852536141872406,0.07142642859588316,0.5253955125808716,0.07866494329691258,,,,
1,generalising,19,,,,,0.15656492114067078,0.04478016450382848,0.3296828866004944,0.056730475593519854,,,,
1,generalising,20,,,,,0.3865293562412262,0.08485302341713236,0.3995073437690735,0.06968686358134209,,,,
1,generalising,21,,,,,0.17311501502990723,0.04906271210637507,0.4672437608242035,0.06697115268274809,,,,
1,generalising,22,,,,,0.41242721676826477,0.08558142714950964,0.21385519206523895,0.050090351130812685,,,,
1,generalising,23,,,,,0.22256779670715332,0.05708034610086294,0.19844375550746918,0.045993174739990865,,,,
1,generalising,24,,,,,0.13402988016605377,0.0454823961075563,0.21737045049667358,0.044224231076468085,,,,
1,generalising,25,,,,,0.1805141568183899,0.048978663718539206,0.21383452415466309,0.048805609008171796,,,,
1,generalising,26,,,,,0.2171238511800766,0.06145091148760853,0.2555692195892334,0.06076147714011027,,,,
1,generalising,27,,,,,0.15148524940013885,0.05280345846532317,0.20159822702407837,0.057443650085849514,,,,
1,generalising,28,,,,,0.16473272442817688,0.05189708139803342,0.2731202244758606,0.05201713064549779,,,,
1,generalising,29,,,,,0.22828762233257294,0.06039074670902334,0.3128458857536316,0.06232714929722848,,,,
1,generalising,30,,,,,0.13847917318344116,0.04318792073009714,0.12720701098442078,0.0416352682314344,,,,
1,generalising,31,,,,,0.13967981934547424,0.04356147271032602,0.37572962045669556,0.06446309619177694,,,,
1,generalising,32,,,,,0.15117450058460236,0.044885357855885114,0.17489992082118988,0.04009622212396862,,,,
1,generalising,33,,,,,0.09185329079627991,0.03542927722774956,0.15247394144535065,0.04207162974020401,,,,
1,generalising,34,,,,,0.27570974826812744,0.06594608519330174,0.592309296131134,0.08663121037297816,,,,
1,generalising,35,,,,,0.13609278202056885,0.041543573189821305,0.2681013345718384,0.052561807114810975,,,,
1,generalising,36,,,,,0.17828071117401123,0.051643367850772705,0.3342764377593994,0.05974665581792257,,,,
1,generalising,37,,,,,0.3585657775402069,0.07888086175335114,0.32592466473579407,0.059097201516393055,,,,
1,generalising,38,,,,,0.13296368718147278,0.042345046288445036,0.19047313928604126,0.04782673154564604,,,,
1,generalising,39,,,,,0.23850084841251373,0.05937441531753671,0.377463161945343,0.06326930675438701,,,,
1,generalising,40,,,,,0.23482410609722137,0.056496199529924504,0.2632627487182617,0.05327222713356146,,,,
1,generalising,41,,,,,0.25142860412597656,0.061856957978169216,0.3045749068260193,0.05921208133372487,,,,
1,generalising,42,,,,,0.28510043025016785,0.06843286111149839,0.4072081744670868,0.06983760562424045,,,,
1,generalising,43,,,,,0.07095189392566681,0.03217852576248591,0.3425310254096985,0.05035636195488502,,,,
1,generalising,44,,,,,0.25430023670196533,0.06001754684575212,0.32383933663368225,0.051548645494541356,,,,
1,generalising,45,,,,,0.11999322474002838,0.0424611301022247,0.2892550826072693,0.057225429210810065,,,,
1,generalising,46,,,,,0.18489955365657806,0.05500794190213046,0.19473788142204285,0.04736080850115218,,,,
1,generalising,47,,,,,0.15063148736953735,0.0447530700841531,0.09932470321655273,0.03823069068092574,,,,
1,generalising,48,,,,,0.12662312388420105,0.04184934423462128,0.30010199546813965,0.059867592251828326,,,,
1,generalising,49,,,,,0.2245865762233734,0.057609891798380726,0.22088631987571716,0.05398084567252256,,,,
1,generalising,50,,,,,0.18987181782722473,0.04887185112022557,0.28342607617378235,0.04601017399654283,,,,
1,generalising,51,,,,,0.19952170550823212,0.05298884307144158,0.2952674627304077,0.06013478786559895,,,,
1,generalising,52,,,,,0.2279772013425827,0.05389993018315886,0.15025970339775085,0.04609928628324532,,,,
1,generalising,53,,,,,0.141593337059021,0.042821313137345406,0.16444894671440125,0.04771012074459948,,,,
1,generalising,54,,,,,0.20168906450271606,0.056411231354767076,0.15302756428718567,0.04815476716654519,,,,
1,generalising,55,,,,,0.12507541477680206,0.04228597848627355,0.19991645216941833,0.05086935770409544,,,,
1,generalising,56,,,,,0.19167791306972504,0.05463920296336719,0.18837028741836548,0.04900419490868913,,,,
1,generalising,57,,,,,0.35363060235977173,0.0820368473709142,0.43753403425216675,0.07564709394435397,,,,
1,generalising,58,,,,,0.23929132521152496,0.05884889293062357,0.4574539363384247,0.06154622792977096,,,,
1,generalising,59,,,,,0.24597659707069397,0.05644232991449889,0.37487125396728516,0.0573639438849525,,,,
1,generalising,60,,,,,0.13673549890518188,0.043427693303416774,0.25447237491607666,0.0437592067823702,,,,
1,generalising,61,,,,,0.36609041690826416,0.07455866760369732,0.21453022956848145,0.053515458351255825,,,,
1,generalising,62,,,,,0.2175535261631012,0.0540967864891861,0.2670246958732605,0.06265586536368825,,,,
1,generalising,63,,,,,0.09824898838996887,0.03680454661538566,0.22224313020706177,0.041021941816256596,,,,
1,generalising,64,,,,,0.4537726044654846,0.09271865323101411,0.4425899386405945,0.07251854925594733,,,,
1,generalising,65,,,,,0.28353220224380493,0.06711640277389476,0.23114599287509918,0.05594711368048638,,,,
1,generalising,66,,,,,0.29890531301498413,0.06393130820494136,0.3896964192390442,0.05755227284995278,,,,
1,generalising,67,,,,,0.18153460323810577,0.049722689157813076,0.29381364583969116,0.06105252855947029,,,,
1,generalising,68,,,,,0.14484615623950958,0.045994401816265906,0.15814022719860077,0.04287661938703812,,,,
1,generalising,69,,,,,0.3283644914627075,0.06921742577027519,0.2595500648021698,0.05979486680483314,,,,
1,generalising,70,,,,,0.21536125242710114,0.05557608324365546,0.33909064531326294,0.05494607268396497,,,,
1,generalising,71,,,,,0.3175027370452881,0.07189104481813292,0.17760685086250305,0.052120559317401234,,,,
1,generalising,72,,,,,0.11827711760997772,0.042495914641809476,0.22265245020389557,0.048445350733540525,,,,
1,generalising,73,,,,,0.31210240721702576,0.07180231867893883,0.29819822311401367,0.048472576105302735,,,,
1,generalising,74,,,,,0.21612128615379333,0.05885038708364997,0.31760960817337036,0.051500067811092336,,,,
1,generalising,75,,,,,0.2516302168369293,0.06397704423220812,0.38008832931518555,0.06806292377274381,,,,
1,generalising,76,,,,,0.21507394313812256,0.053457273293052665,0.2319404035806656,0.046986178797148954,,,,
1,generalising,77,,,,,0.39203792810440063,0.08282339516086512,0.2932995557785034,0.060820090225077464,,,,
1,generalising,78,,,,,0.21796977519989014,0.05630435427053392,0.17469924688339233,0.049695371502065336,,,,
1,generalising,79,,,,,0.15559744834899902,0.04586674570969081,0.13423588871955872,0.04071859666705305,,,,
1,generalising,80,,,,,0.2147594392299652,0.06013754259092492,0.23588012158870697,0.05547188486170918,,,,
1,generalising,81,,,,,0.2742695212364197,0.06471832133938787,0.22332805395126343,0.05045092643858171,,,,
1,generalising,82,,,,,0.20538552105426788,0.05299908816971476,0.1706932783126831,0.04685923136807547,,,,
1,generalising,83,,,,,0.11994640529155731,0.0398527772494683,0.20369182527065277,0.050969814997048654,,,,
1,generalising,84,,,,,0.3942880630493164,0.08837387408675741,0.21628578007221222,0.0586687444312902,,,,
1,generalising,85,,,,,0.16928796470165253,0.04909094558996495,0.3503015339374542,0.056189389474292674,,,,
1,generalising,86,,,,,0.3775395154953003,0.07455204314363438,0.44443219900131226,0.07810829203455126,,,,
1,generalising,87,,,,,0.1911826729774475,0.05449089269834039,0.1871972382068634,0.04951108344788016,,,,
1,generalising,88,,,,,0.1141277402639389,0.03834744813039104,0.2330327033996582,0.03787262305874504,,,,
1,generalising,89,,,,,0.1183183342218399,0.04212340311730824,0.22292602062225342,0.04101871817338219,,,,
1,generalising,90,,,,,0.26062577962875366,0.0667165650418733,0.2302280217409134,0.05208768196188768,,,,
1,generalising,91,,,,,0.1740424633026123,0.05082818355151386,0.3529733419418335,0.060333861339940266,,,,
1,generalising,92,,,,,0.14936615526676178,0.046654338894174,0.31794801354408264,0.0585263356723049,,,,
1,generalising,93,,,,,0.14580446481704712,0.04668980760170536,0.5429698824882507,0.08198593435623819,,,,
1,generalising,94,,,,,0.3456805944442749,0.0773839807799188,0.24318474531173706,0.052952095566791826,,,,
1,generalising,95,,,,,0.1470475196838379,0.045737827106883636,0.1822207272052765,0.05405955968256884,,,,
1,generalising,96,,,,,0.2512032389640808,0.05661933548918583,0.1908654272556305,0.05089212304037219,,,,
1,generalising,97,,,,,0.2771957516670227,0.06733332743621681,0.4403621256351471,0.06404854079614694,,,,
1,generalising,98,,,,,0.33403486013412476,0.06816544271975566,0.4851014316082001,0.07170376358359108,,,,
1,generalising,99,,,,,0.17494237422943115,0.04938477451547321,0.33356714248657227,0.06268109771818027,,,,
1,generalising,100,,,,,0.24380788207054138,0.06682837360240954,0.2879284620285034,0.06487488035874366,,,,
1,generalising,101,,,,,0.24737638235092163,0.06679848646525295,0.42597803473472595,0.0720287153152042,,,,
1,generalising,102,,,,,0.306185245513916,0.06822827916821765,0.45154035091400146,0.07305886950590824,,,,
1,generalising,103,,,,,0.19075648486614227,0.049871044898892665,0.21028544008731842,0.051820911226522465,,,,
1,generalising,104,,,,,0.4280950427055359,0.08339078229198538,0.32662340998649597,0.06383300114621428,,,,
1,generalising,105,,,,,0.31608083844184875,0.08141579371146719,0.47144991159439087,0.07306681034196774,,,,
1,generalising,106,,,,,0.3329644799232483,0.07346325755132882,0.25554847717285156,0.051970442977389425,,,,
1,generalising,107,,,,,0.1737254410982132,0.047044019002555594,0.33257144689559937,0.05908764196025182,,,,
1,generalising,108,,,,,0.20151051878929138,0.04902033742144627,0.33388322591781616,0.05534879057839054,,,,
1,generalising,109,,,,,0.2391015589237213,0.058991245727020115,0.2919769883155823,0.05857730376993178,,,,
1,generalising,110,,,,,0.20757874846458435,0.05672842115183255,0.21477387845516205,0.05150910733392294,,,,
1,generalising,111,,,,,0.2441781461238861,0.060634397198689516,0.3485885262489319,0.06832252108154212,,,,
1,generalising,112,,,,,0.11156709492206573,0.03869044421019496,0.22342795133590698,0.05086305223415292,,,,
1,generalising,113,,,,,0.17112015187740326,0.04530803991743357,0.1811637282371521,0.051086521743799206,,,,
1,generalising,114,,,,,0.2114330679178238,0.05728912578099407,0.25968825817108154,0.047421575701813594,,,,
1,generalising,115,,,,,0.23857972025871277,0.06385023316415189,0.3302696943283081,0.05872194586354002,,,,
1,generalising,116,,,,,0.27586790919303894,0.06687963147389887,0.3588305413722992,0.05527404031976255,,,,
