step,prompt_source,prompt_idx,ed_vs_baseline_in_distribution,sw_vs_baseline_in_distribution,ed_vs_baseline_out_of_distribution,sw_vs_baseline_out_of_distribution
1,in_distribution,0,1.0063518285751343,0.06741720010890848,0.31526362895965576,0.05209289647690278
1,in_distribution,1,0.4288554787635803,0.051638523603739515,0.260290265083313,0.0462171041188087
1,in_distribution,2,0.3973151445388794,0.051333796405442465,0.2722681760787964,0.05148118897904518
1,in_distribution,3,1.1762806177139282,0.07014716358965405,0.29756903648376465,0.05435591764235268
1,in_distribution,4,0.9189768433570862,0.07434446107952097,0.285317063331604,0.05409781467156499
1,in_distribution,5,0.3836653232574463,0.05330283585674505,0.27704739570617676,0.051413472548894175
1,in_distribution,6,0.5395376086235046,0.05779152288596118,0.26703619956970215,0.04948275512872287
1,in_distribution,7,0.6990290880203247,0.06088287333145723,0.2825084924697876,0.04970879774490679
1,in_distribution,8,1.158431887626648,0.068684102646375,0.29318666458129883,0.05117570718594101
1,in_distribution,9,0.6898455023765564,0.05541984531107711,0.30812668800354004,0.051245182308721555
1,in_distribution,10,0.7864734530448914,0.062279563758293285,0.2739558219909668,0.05006165242430263
1,in_distribution,11,1.3067820072174072,0.07432699256581389,0.28746283054351807,0.05011473084565615
1,in_distribution,12,0.7379090189933777,0.06412113524421517,0.2855865955352783,0.05045295465863795
1,in_distribution,13,1.4837630987167358,0.0802700796134129,0.29276788234710693,0.049589758476241544
1,in_distribution,14,0.4511870741844177,0.05455667735683865,0.29752182960510254,0.05221281574620353
1,in_distribution,15,1.1373443603515625,0.06754617422030276,0.31446373462677,0.05270464539984241
1,out_of_distribution,0,0.5228767395019531,0.050097876722281255,0.2954390048980713,0.052049803162053904
1,out_of_distribution,1,0.861333966255188,0.06708299593943495,0.2917318344116211,0.05087204251185001
1,out_of_distribution,2,0.47907429933547974,0.05620310489412115,0.28876471519470215,0.05414743665292158
1,out_of_distribution,3,0.6141781806945801,0.059369719006374805,0.2887587547302246,0.04984385513442263
1,out_of_distribution,4,0.9673592448234558,0.06932184088817968,0.29908299446105957,0.05068159332130935
1,out_of_distribution,5,0.42671799659729004,0.05341312998268435,0.28623294830322266,0.05154624770614316
1,out_of_distribution,6,0.9994673728942871,0.060765524267343086,0.33062589168548584,0.05488381619546481
1,out_of_distribution,7,0.5276668667793274,0.055096793275726315,0.28507041931152344,0.05228890911984178
1,out_of_distribution,8,0.6889151930809021,0.06012061107141748,0.2745276689529419,0.04825670093484958
1,out_of_distribution,9,0.6505202651023865,0.06560679528934958,0.28397858142852783,0.04999764587708655
1,out_of_distribution,10,0.8251146078109741,0.06964722716510273,0.30481255054473877,0.053992176893576556
1,out_of_distribution,11,0.6099720597267151,0.0597196348779723,0.29962122440338135,0.05483871446503946
1,out_of_distribution,12,0.3444923162460327,0.05075837395195098,0.2905939817428589,0.05249739697925132
1,out_of_distribution,13,0.769658088684082,0.055169359536083394,0.2735142707824707,0.04728809368555971
1,out_of_distribution,14,0.5523232221603394,0.061857223502419185,0.2986027002334595,0.053598612223933105
1,out_of_distribution,15,0.5484627485275269,0.05880696290172424,0.29955124855041504,0.05484207218359498
200,in_distribution,0,0.7380825281143188,0.06106511416696822,0.14294445514678955,0.03816772555885097
200,in_distribution,1,0.22599869966506958,0.0404297629170911,0.12834656238555908,0.03598826221288942
200,in_distribution,2,0.27113378047943115,0.04719496478577625,0.15290701389312744,0.03993161248001216
200,in_distribution,3,0.8605068922042847,0.06284545729390326,0.12676382064819336,0.035377500978148624
200,in_distribution,4,0.6885538697242737,0.06767918679169038,0.24006783962249756,0.0451456610855686
200,in_distribution,5,0.25769853591918945,0.04382685427676846,0.15685033798217773,0.038629796732660704
200,in_distribution,6,0.362667977809906,0.05066432464906463,0.13259649276733398,0.0367739866705299
200,in_distribution,7,0.5297533273696899,0.058154240120881356,0.14627015590667725,0.040705920567988434
200,in_distribution,8,0.9637528657913208,0.07622355943270023,0.20645475387573242,0.04382408453322383
200,in_distribution,9,0.6253597140312195,0.05937974854124643,0.1599416732788086,0.03895204410422537
200,in_distribution,10,0.5639671683311462,0.05184445619687854,0.15628314018249512,0.03858739024350036
