run_id,num_tasks,checkpoint_step,prompt_source,prompt_length,n_samples,n_samples_prior,n_prompts,prompt_idx,dist/ed_vs_baseline_memorising,dist/ed_vs_baseline_generalising,dist/sw_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/ed_vs_baseline_misspecified,dist/sw_vs_baseline_misspecified
0m4pu40l,16,150000,,0,0,3000,0,0,0.0096864700317382,0.1551960791158619,0.0584202911286666,0.2538939203231384,0.1582830525997072,0.2609943554161969
0m4pu40l,16,150000,generalising,8,100,0,50,0,0.2883097529411316,4.558014361547208,0.1024705542007737,0.991096333763172,4.24506950378418,0.9641333303340824
0m4pu40l,16,150000,generalising,8,100,0,50,1,0.2917050719261169,1.6315897124597492,0.1166107022636031,0.4697287554013276,1.6619330644607544,0.4568373574960371
0m4pu40l,16,150000,generalising,8,100,0,50,2,0.8304539918899536,2.8024970674738903,0.3587646743413984,0.7833186616104707,2.6166934967041016,0.7634016958979786
0m4pu40l,16,150000,generalising,8,100,0,50,3,0.2417676746845245,3.4743408800592332,0.0765741137589596,0.7541275375277336,3.4999241828918457,0.7362540655961489
0m4pu40l,16,150000,generalising,8,100,0,50,4,4.852389812469482,1.3229994394330398,0.9425058067569602,0.4648138639012626,1.400252103805542,0.4388278010643461
0m4pu40l,16,150000,generalising,8,100,0,50,5,0.3692151308059692,1.2275502658537971,0.1701499410474362,0.4179915275508443,1.481885552406311,0.4270762954907266
0m4pu40l,16,150000,generalising,8,100,0,50,6,0.780501127243042,0.5762024121814864,0.3326761186549698,0.3264658671855702,0.5469064712524414,0.2938913364076884
0m4pu40l,16,150000,generalising,8,100,0,50,7,0.5795741677284241,2.0488901762487863,0.2248560083269352,0.5948131606854254,2.046713352203369,0.5805223630674582
0m4pu40l,16,150000,generalising,8,100,0,50,8,0.2218650579452514,1.4701544429397888,0.0671606647160147,0.450597367281229,1.362841010093689,0.3773546821424414
0m4pu40l,16,150000,generalising,8,100,0,50,9,2.9639883041381836,1.046578018619108,0.7909688564189711,0.4870745771305079,1.062567114830017,0.5122405109460316
0m4pu40l,16,150000,generalising,8,100,0,50,10,0.8740701675415039,3.7175303166432303,0.4083568323934834,0.8919249531484348,3.6342477798461914,0.907313526216722
0m4pu40l,16,150000,generalising,8,100,0,50,11,1.096855640411377,2.5238064719779567,0.4479355037539179,0.6330790999906636,2.4111547470092773,0.5975679534352217
0m4pu40l,16,150000,generalising,8,100,0,50,12,0.9495749473571776,1.527795598966927,0.3818202647170174,0.5314540176295632,1.5113952159881592,0.5381471255016178
0m4pu40l,16,150000,generalising,8,100,0,50,13,2.674696207046509,1.2083252288904305,0.5461053742128721,0.3821580302494816,1.1951704025268557,0.362190176633181
0m4pu40l,16,150000,generalising,8,100,0,50,14,2.1008565425872803,4.040583636797987,0.527515073409089,1.126188347751198,4.769174575805664,1.2078989765306354
0m4pu40l,16,150000,generalising,8,100,0,50,15,2.272531270980835,2.4028458526816583,0.5415059071654705,0.7564279831107059,2.5859172344207764,0.8156226517098107
0m4pu40l,16,150000,generalising,8,100,0,50,16,2.40035629272461,4.01852071669864,0.5773695916363899,0.9354042146429932,4.211614608764648,0.994821183704262
0m4pu40l,16,150000,generalising,8,100,0,50,17,3.240077495574951,1.94586295907528,0.7020420558171974,0.6021360239932192,1.7374446392059326,0.5663857861605321
0m4pu40l,16,150000,generalising,8,100,0,50,18,1.4220839738845823,2.375351679262778,0.4623964885055718,0.7050377440134558,2.339790105819702,0.7188240064261787
0m4pu40l,16,150000,generalising,8,100,0,50,19,1.0402815341949463,3.269248922466077,0.3387232667221728,0.8414649460020146,3.668468475341797,0.8524188772156356
