step,n_chains,ed_vs_baseline_in_distribution,sw_vs_baseline_in_distribution,ed_vs_baseline_out_of_distribution,sw_vs_baseline_out_of_distribution,ed_vs_baseline_in_distribution_from_prompts_in_distribution,sw_vs_baseline_in_distribution_from_prompts_in_distribution,ed_vs_baseline_out_of_distribution_from_prompts_in_distribution,sw_vs_baseline_out_of_distribution_from_prompts_in_distribution,ed_vs_baseline_in_distribution_from_prompts_out_of_distribution,sw_vs_baseline_in_distribution_from_prompts_out_of_distribution,ed_vs_baseline_out_of_distribution_from_prompts_out_of_distribution,sw_vs_baseline_out_of_distribution_from_prompts_out_of_distribution
1,8,0.3917449712753296,0.05234969365923232,0.286169171333313,0.05281390231195163,1.2629534713923931,0.0750415461565182,0.286097876727581,0.050802806209591954,0.9311788864433765,0.06890206153100281,0.29671915620565414,0.052625338358812924
200,8,0.10092306137084961,0.02995319930500116,0.0994565486907959,0.03249726446022961,0.8825934678316116,0.06769265811311465,0.17821214348077774,0.04031556055963204,0.6556894294917583,0.06040338711430295,0.15520525723695755,0.03855707727530493
400,8,0.08384084701538086,0.027984985005695545,0.10282516479492188,0.035331137252421776,0.8717034347355366,0.06773088845839768,0.14942481368780136,0.03843719046319781,0.6351303085684776,0.05940052149627241,0.1440286934375763,0.037896549866245105
600,8,0.07508468627929688,0.025351920714874913,0.09192895889282227,0.030918481079559714,0.8805205710232258,0.0688724329556621,0.14990223944187164,0.03766762104817576,0.65453265234828,0.06126433817544785,0.14029109477996826,0.037237226288280564
800,8,0.0670166015625,0.02464585726982443,0.09178352355957031,0.03019269558039629,0.8352759182453156,0.0664143640729237,0.14756420999765396,0.03751856777775346,0.6503974422812462,0.05965883320843127,0.13994601368904114,0.03685431776985109
1000,8,0.0675508975982666,0.025930711365701072,0.09159326553344727,0.03219570664149245,0.8591234087944031,0.0693144431832889,0.14804604649543762,0.03787196359355393,0.6483392491936684,0.062049668964554286,0.13771507143974304,0.036936247229692055
1200,8,0.07067668437957764,0.025145100084875124,0.09660923480987549,0.03225324363538009,0.8579469621181488,0.06980601334131004,0.15842542052268982,0.03816324036539087,0.6331171840429306,0.05998143362039328,0.13875015825033188,0.03592815368286455
1400,8,0.08315348625183105,0.02698968739325923,0.10169124603271484,0.0335224019962228,0.8615387715399265,0.06933865064239922,0.1488066017627716,0.03744130068673611,0.6420261934399605,0.06001362677037268,0.13664191216230392,0.03623451939524036
1600,8,0.06243014335632324,0.024682230976464416,0.08565473556518555,0.031163548002527103,0.8160374574363232,0.06766399526049241,0.14103329181671143,0.036773903989776785,0.631608858704567,0.059356024577059796,0.13132283836603165,0.03592368633430795
1800,8,0.06419920921325684,0.024623838981621095,0.09696125984191895,0.03457111144089048,0.8251357302069664,0.06846677682177753,0.1444210261106491,0.036940106807502926,0.6224896498024464,0.06056215826072289,0.12840452790260315,0.035669051953045657
2000,8,0.06313109397888184,0.024884396674991247,0.08611297607421875,0.03148048176717259,0.8049987219274044,0.06846648592099175,0.14283394813537598,0.03668448874231934,0.634215448051691,0.06036397911342238,0.14117590337991714,0.03711192289661138
2200,8,0.06007528305053711,0.025550449802498022,0.08241128921508789,0.029855267116947876,0.8049507327377796,0.06815664200156968,0.14139403402805328,0.03645493232972935,0.6348033733665943,0.0598072022298778,0.14248649030923843,0.03708687405819982
2400,8,0.06145906448364258,0.0251317065144228,0.08337926864624023,0.028668681008461455,0.786218274384737,0.06598529899561772,0.14354965090751648,0.0374678499402743,0.6693028137087822,0.060551509438521785,0.15255477279424667,0.037664693200037194
2600,8,0.05138874053955078,0.022657700697844875,0.09084749221801758,0.03152124143207419,0.7812628224492073,0.0673145515144834,0.15250905603170395,0.03826973742122694,0.6483078747987747,0.06047264542142404,0.15452461689710617,0.038494227435839246
2800,8,0.06386637687683105,0.025086428339323782,0.0885467529296875,0.032102269249962886,0.782209625467658,0.06633196766828788,0.14767231792211533,0.03711934041438964,0.6580504775047302,0.059914976401795605,0.1572115123271942,0.038197526502028
3000,8,0.05742025375366211,0.025301640458115105,0.08111786842346191,0.029885742061236783,0.7878270521759987,0.06642707528237957,0.15320847183465958,0.03737764250590023,0.6730147264897823,0.061681589175982,0.17532064765691757,0.039847400176715106
3200,8,0.0601348876953125,0.02404607680614469,0.0946199893951416,0.031888769215283747,0.7347157001495361,0.06381469070004883,0.16534142941236496,0.03844493292107971,0.6519744955003262,0.060726389589372515,0.16426542401313782,0.03948165242123287
3400,8,0.06324899196624756,0.024110221687095233,0.09203755855560303,0.032151456559297686,0.7141599506139755,0.06325360515646167,0.17377427220344543,0.039362349999980534,0.658522117882967,0.05924036806780478,0.1808779388666153,0.04093799506621554
3600,8,0.05196189880371094,0.02270447183669998,0.09286689758300781,0.03180080817706197,0.7453584261238575,0.0632436151986408,0.16811107099056244,0.0395354300442623,0.6448124945163727,0.059444563909965595,0.18041342496871948,0.04005843754432896
3800,8,0.06082308292388916,0.02417975366282607,0.08525288105010986,0.030284756048768395,0.7187816072255373,0.0631533607049829,0.16495801508426666,0.03960082464960993,0.6407302431762218,0.06145946371140005,0.17665478587150574,0.03998645184963247
4000,8,0.05785107612609863,0.024917529088902154,0.10281825065612793,0.03400890460754615,0.6988810338079929,0.062453202013502365,0.18341027945280075,0.041204519176937814,0.634555246680975,0.060999532465231696,0.18322812020778656,0.04137767169444414
