step,prompt_source,prompt_idx,ed_vs_baseline_in_distribution,sw_vs_baseline_in_distribution,ed_vs_baseline_out_of_distribution,sw_vs_baseline_out_of_distribution
1,in_distribution,0,1.5660229921340942,0.08174681098100471,0.3000221252441406,0.05048554304736991
1,in_distribution,1,1.6381744146347046,0.09035334815235918,0.2820085287094116,0.051254987682265545
1,in_distribution,2,1.1334080696105957,0.06791783451284887,0.2860807180404663,0.05094847087347782
1,in_distribution,3,1.042080283164978,0.07384652448365862,0.2664473056793213,0.049769520309892165
1,in_distribution,4,1.4445829391479492,0.0711235852425797,0.2703084945678711,0.04990388296242832
1,in_distribution,5,0.8765654563903809,0.06665245712684112,0.2937833070755005,0.05311544546201812
1,in_distribution,6,1.3852437734603882,0.07964427339815112,0.281313419342041,0.04769466532790795
1,in_distribution,7,1.5860828161239624,0.08655536838214782,0.31284165382385254,0.0503858702081858
1,in_distribution,8,1.4954499006271362,0.08039397669741664,0.27594947814941406,0.05065831876862472
1,in_distribution,9,1.6157418489456177,0.0881260698627507,0.2922663688659668,0.052277421086191225
1,in_distribution,10,0.9208045601844788,0.061548762761970126,0.28831684589385986,0.05156651799033942
1,in_distribution,11,1.0434283018112183,0.06942326036149347,0.30555903911590576,0.05107286598017849
1,in_distribution,12,1.4355199337005615,0.07547462086366015,0.3128453493118286,0.054577682917254844
1,in_distribution,13,0.7898014187812805,0.06282466559613832,0.2769521474838257,0.049948376575131
1,in_distribution,14,1.3744372129440308,0.08043774670995374,0.27690696716308594,0.0495082731201542
1,in_distribution,15,0.8599116206169128,0.0645954333713169,0.2559642791748047,0.04967705704205173
1,out_of_distribution,0,0.5855827331542969,0.06386619749458768,0.2948150634765625,0.05111703355336813
1,out_of_distribution,1,1.4538955688476562,0.07883651333161361,0.2967139482498169,0.054853088540060095
1,out_of_distribution,2,0.666309118270874,0.06420912729721584,0.2998470067977905,0.05327751676467089
1,out_of_distribution,3,0.6473427414894104,0.06608424640713643,0.2976205348968506,0.0526452062194797
1,out_of_distribution,4,0.4517308473587036,0.05507741832393975,0.29211699962615967,0.05139072657364088
1,out_of_distribution,5,0.995597243309021,0.07003896136569158,0.28175270557403564,0.05275584273725059
1,out_of_distribution,6,1.299715518951416,0.0801291973451627,0.32513511180877686,0.052604165945936365
1,out_of_distribution,7,0.7841846942901611,0.06512868803199005,0.3009333610534668,0.05377908907577794
1,out_of_distribution,8,0.813966691493988,0.0685664034316584,0.28714215755462646,0.051094802704467125
1,out_of_distribution,9,0.7003446221351624,0.05762701616465984,0.2889746427536011,0.05079094655464281
1,out_of_distribution,10,1.3945821523666382,0.07793325583296991,0.30056023597717285,0.051067030667462945
1,out_of_distribution,11,1.0699012279510498,0.0704947121264639,0.3031435012817383,0.054188352240872734
1,out_of_distribution,12,0.689141035079956,0.061902732122434745,0.2967410087585449,0.053246259718844356
1,out_of_distribution,13,1.2038993835449219,0.07162314964983924,0.2785698175430298,0.050599890593057834
1,out_of_distribution,14,1.0671390295028687,0.08022578724904378,0.30020081996917725,0.05644966520359937
1,out_of_distribution,15,1.0755295753479004,0.07068957832163739,0.3032395839691162,0.052145796647874956
200,in_distribution,0,1.2209569215774536,0.07940102704610508,0.12254071235656738,0.030518546940768287
200,in_distribution,1,1.0287766456604004,0.0691887763408749,0.15823698043823242,0.03939822112433525
200,in_distribution,2,0.9019753336906433,0.06573531567586707,0.1146092414855957,0.035738963643205876
200,in_distribution,3,0.630733847618103,0.05700092101965334,0.20159101486206055,0.0444558581726826
200,in_distribution,4,1.084871530532837,0.07398739831225903,0.1786634922027588,0.04176200532240339
200,in_distribution,5,0.6651387214660645,0.06183778954135654,0.14551770687103271,0.0391423002124837
200,in_distribution,6,0.941728949546814,0.06610216847956515,0.22378146648406982,0.04555324823883218
200,in_distribution,7,1.24118173122406,0.08363462997612181,0.14380860328674316,0.03701939676106307
200,in_distribution,8,1.1091495752334595,0.07531318327022403,0.11720609664916992,0.03646044453732062
200,in_distribution,9,0.8817547559738159,0.06910695996585924,0.1893019676208496,0.03927440701972874
200,in_distribution,10,0.605815589427948,0.06428618587303758,0.14794063568115234,0.03685345920536056
200,in_distribution,11,0.9594860076904297,0.07396352208946749,0.16036581993103027,0.04112499234717828
200,in_distribution,12,0.6359952688217163,0.05608131041231598,0.40489327907562256,0.05680547207865689
200,in_distribution,13,0.551483690738678,0.056183470009691296,0.26869332790374756,0.047272786828936625
200,in_distribution,14,1.1890870332717896,0.08120830728125215,0.12503314018249512,0.03636342440110694
200,in_distribution,15,0.4733598828315735,0.050051564516183554,0.14921081066131592,0.037305442120049666
200,out_of_distribution,0,0.35665225982666016,0.04807125637862858,0.19306302070617676,0.04671319801950207
200,out_of_distribution,1,1.0751291513442993,0.07722342457053565,0.12917494773864746,0.034505548344628253
200,out_of_distribution,2,0.3611295223236084,0.04392347618667778,0.23292827606201172,0.045994377113844125
200,out_of_distribution,3,0.4103030562400818,0.04990477552268725,0.17100179195404053,0.03853895989674614
200,out_of_distribution,4,0.21268713474273682,0.0381684164475358,0.19543349742889404,0.04299479054081515
200,out_of_distribution,5,0.7761973142623901,0.0704789927695485,0.13250911235809326,0.035800805337379976
200,out_of_distribution,6,0.9794960021972656,0.07489145017902106,0.13717114925384521,0.037711401582862465
200,out_of_distribution,7,0.5044956207275391,0.056746935151555794,0.17275309562683105,0.04162213388469265
200,out_of_distribution,8,0.4989853501319885,0.051276654663564264,0.1463019847869873,0.03590401340130855
200,out_of_distribution,9,0.33147960901260376,0.043418804128911435,0.17098009586334229,0.03928586117265438
200,out_of_distribution,10,1.0380860567092896,0.0753529001147344,0.13783907890319824,0.03729972438000606
200,out_of_distribution,11,1.002654790878296,0.0698329068246232,0.1694849729537964,0.04129284844706179
200,out_of_distribution,12,0.4643656015396118,0.057136441173605584,0.11862099170684814,0.03295208370880597
200,out_of_distribution,13,1.032245397567749,0.07671258290976792,0.12619686126708984,0.035613115896056355
200,out_of_distribution,14,0.576737642288208,0.06290431931415429,0.12925410270690918,0.036127303664135274
200,out_of_distribution,15,0.8703863620758057,0.07041085749329574,0.12057113647460938,0.03455707101437963
400,in_distribution,0,1.2744560241699219,0.08754611155307364,0.13341963291168213,0.03488877373066918
400,in_distribution,1,1.031489610671997,0.07588964961797234,0.1626429557800293,0.04092900554723089
400,in_distribution,2,0.9689287543296814,0.06431415477616044,0.14002156257629395,0.037332922621610955
400,in_distribution,3,0.631686806678772,0.055986392945065695,0.152366042137146,0.03898366589992973
400,in_distribution,4,0.9550302028656006,0.07500852315902336,0.1549520492553711,0.039428086641755115
400,in_distribution,5,0.7390197515487671,0.07043400721009818,0.14029169082641602,0.036356704452048104
400,in_distribution,6,0.962149977684021,0.07437454664477458,0.15039920806884766,0.03593350101382134
400,in_distribution,7,1.256689429283142,0.08370864457192885,0.1462705135345459,0.03822721111322323
400,in_distribution,8,1.0740174055099487,0.07937189835585358,0.11786806583404541,0.03254723979913723
400,in_distribution,9,1.0490342378616333,0.07118915769560213,0.15502429008483887,0.04091400433955702
400,in_distribution,10,0.5822322964668274,0.05233457305558511,0.14977824687957764,0.0448917821550306
400,in_distribution,11,0.8775312900543213,0.07030070316318204,0.1441056728363037,0.03753572970889601
400,in_distribution,12,0.6807762980461121,0.05761117715667941,0.2335972785949707,0.048711282344447014
400,in_distribution,13,0.3468093276023865,0.04497843885994092,0.1692960262298584,0.03915010972678763
400,in_distribution,14,1.0535805225372314,0.07032433740576614,0.12065207958221436,0.03415271692923562
400,in_distribution,15,0.46382302045822144,0.0503218991636565,0.12011170387268066,0.03501231138778537
400,out_of_distribution,0,0.31071555614471436,0.0433186069048199,0.16690528392791748,0.039148429319938026
400,out_of_distribution,1,1.102329134941101,0.08484223836284732,0.1345043182373047,0.03533632917629641
400,out_of_distribution,2,0.4283435344696045,0.04730021339633338,0.1803203821182251,0.041540812684481995
