step,_step,train_loss,id_kl,ood_kl,kl/id/misspec/generalising,kl/id/misspec/memorising,kl/id/wellspec/generalising,kl/id/wellspec/memorising,kl/ood/misspec/generalising,kl/ood/misspec/memorising,kl/ood/wellspec/generalising,kl/ood/wellspec/memorising
1,0,2.5592546463012695,0.5674888700246811,0.6247486293315887,0.149979829788208,0.13286352157592773,0.3788433074951172,0.5144895315170288,0.15751990675926208,0.13612526655197144,0.39256393909454346,0.46985676884651184
200,1,2.0445613861083984,0.15067295879125595,0.6236720740795135,0.2025541365146637,0.19502028822898865,0.12896853685379028,0.1363915205001831,0.1861165314912796,0.1656942367553711,0.41209518909454346,0.37983328104019165
400,2,1.9742788076400757,0.029798078816384077,0.6513036161661148,0.3139720857143402,0.3024275600910187,0.09183908998966217,0.05671004578471184,0.24355369806289673,0.20803365111351013,0.4624401032924652,0.38448572158813477
600,3,1.9653526544570923,0.011066373530775308,0.6785101652145386,0.34832197427749634,0.33720487356185913,0.09054143726825714,0.03928158059716225,0.27334505319595337,0.22780370712280273,0.5022194385528564,0.4703493118286133
800,4,1.9536125659942627,0.007257571071386337,0.7212634801864624,0.37082839012145996,0.3590484857559204,0.08809805661439896,0.025764208287000656,0.2942991256713867,0.25665831565856934,0.5607191324234009,0.46410423517227173
1000,5,1.9594131708145142,0.018692462844774126,0.7263894140720367,0.35835492610931396,0.3459077477455139,0.08785079419612885,0.03572840988636017,0.2633534371852875,0.23263558745384216,0.4939243793487549,0.43109941482543945
1200,6,1.9622249603271484,0.006461619096808135,0.6787641704082489,0.3750185966491699,0.3613739013671875,0.09165389835834503,0.02595844492316246,0.284421443939209,0.23374485969543457,0.5329302549362183,0.4414256811141968
1400,7,1.9625122547149658,0.003941448079422117,0.804914653301239,0.33617421984672546,0.3217850625514984,0.0889650285243988,0.03330090641975403,0.25181201100349426,0.22094488143920898,0.48134157061576843,0.4176969528198242
1600,8,1.944390892982483,0.0037825235165655615,0.7493874192237854,0.38378822803497314,0.37000641226768494,0.09161144495010376,0.020146720111370087,0.2725827991962433,0.2444407045841217,0.5150675773620605,0.42955222725868225
1800,9,1.9548487663269043,0.003700453625060618,0.6797890931367874,0.37630337476730347,0.36220884323120117,0.08971787244081497,0.019481521099805832,0.27308809757232666,0.23781879246234894,0.5333452820777893,0.4737534523010254
2000,10,1.9510760307312012,0.0037938858615234492,0.7825234472751618,0.3801538050174713,0.36548787355422974,0.09392121434211731,0.027789954096078873,0.2683568000793457,0.2410460263490677,0.4834297299385071,0.46256089210510254
2200,11,1.9493025541305542,0.002876046672463417,0.7280373454093934,0.37075215578079224,0.35919189453125,0.09521646052598953,0.027493149042129517,0.27073609828948975,0.2403363585472107,0.5176261067390442,0.49797362089157104
2400,12,1.9461557865142822,0.002373450272716582,0.7467116355895996,0.37738776206970215,0.36228257417678833,0.09418720006942749,0.024223722517490387,0.26404833793640137,0.22415336966514587,0.5413271188735962,0.4767974615097046
2600,13,1.939124345779419,0.004518079711124301,0.7546694874763489,0.39048221707344055,0.3761887550354004,0.09246809035539627,0.016468558460474014,0.302751362323761,0.2704382836818695,0.5017687678337097,0.40776532888412476
2800,14,1.9513379335403442,0.003642335894983262,0.6658824384212494,0.3841133117675781,0.3723154664039612,0.08823986351490021,0.015302419662475586,0.2909391522407532,0.24782490730285645,0.5433398485183716,0.5498640537261963
3000,15,1.9458444118499756,0.0022980564390309155,0.6619739890098572,0.38228368759155273,0.36849769949913025,0.09370214492082596,0.01863393560051918,0.28984689712524414,0.24391546845436096,0.523294985294342,0.4348835349082947
3200,16,1.9356818199157715,0.00509419096633792,0.7074165612459182,0.3778708279132843,0.3638216555118561,0.09041136503219604,0.01320046279579401,0.2746596932411194,0.24374933540821075,0.4865683317184448,0.47630828619003296
3400,17,1.94529390335083,0.0022734905942343175,0.7381884157657623,0.3933035135269165,0.3810735046863556,0.09102009236812592,0.0088117066770792,0.2394753098487854,0.20724186301231384,0.46376627683639526,0.39171886444091797
3600,18,1.9405345916748047,0.002882406208664179,0.7317271113395691,0.39633089303970337,0.38245150446891785,0.09662462770938873,0.010310564190149307,0.2676583230495453,0.2287832498550415,0.49908649921417236,0.45386531949043274
3800,19,1.939658522605896,0.0021519960137084126,0.6796420633792877,0.3878285884857178,0.37443801760673523,0.09126953780651093,0.011392750777304173,0.25438427925109863,0.22952178120613098,0.48531466722488403,0.46534281969070435
4000,20,1.9437265396118164,0.0034718271810561417,0.7060924410820008,0.3991122245788574,0.3845286965370178,0.09807772934436798,0.00949343666434288,0.28178083896636963,0.24673575162887573,0.49223533272743225,0.43440520763397217
4200,21,1.939987301826477,0.0022882758057676256,0.6798056960105896,0.39542293548583984,0.3822180926799774,0.09578081965446472,0.009346581995487213,0.25711721181869507,0.22012266516685486,0.49965623021125793,0.40713202953338623
4400,22,1.9369447231292725,0.002216061169747263,0.6737337708473206,0.4028420150279999,0.3898707330226898,0.09231221675872803,0.007628286723047495,0.28156110644340515,0.24230337142944336,0.5090558528900146,0.44306397438049316
4600,23,1.9349727630615234,0.0019436886883340775,0.7281193017959595,0.3779972195625305,0.3650684654712677,0.09284695982933044,0.011077768169343472,0.23784372210502625,0.20869550108909607,0.46913179755210876,0.39763593673706055
4800,24,1.9350736141204834,0.0028074287401977926,0.7578175961971283,0.3929758667945862,0.3778785467147827,0.0966130793094635,0.00978774018585682,0.26373109221458435,0.23009389638900757,0.49882930517196655,0.4192904531955719
