step,_step,train_loss,id_kl,ood_kl,kl/id/misspec/generalising,kl/id/misspec/memorising,kl/id/wellspec/generalising,kl/id/wellspec/memorising,kl/ood/misspec/generalising,kl/ood/misspec/memorising,kl/ood/wellspec/generalising,kl/ood/wellspec/memorising
1,0,2.564525604248047,0.6171010076999665,0.6225463002920151,0.14708790183067322,0.1303998827934265,0.384393572807312,0.5247368812561035,0.15464510023593903,0.1262792944908142,0.389215886592865,0.4556148648262024
200,1,2.2571325302124023,0.5016115993261338,0.5085350185632705,0.018023986369371414,0.019180158153176308,0.24664306640625,0.36893755197525024,0.02628389000892639,0.02899320423603058,0.26914316415786743,0.3465254306793213
400,2,2.2130489349365234,0.4478527843952179,0.5324037164449692,0.053100503981113434,0.0528273731470108,0.21727849543094635,0.3333463668823242,0.0493292510509491,0.05407867208123207,0.292047917842865,0.3666134178638458
600,3,2.176771640777588,0.3633814170956612,0.5787975430488587,0.08901136368513107,0.08952723443508148,0.20139750838279724,0.29616251587867737,0.08508016169071198,0.09033896774053574,0.34439218044281006,0.4169687032699585
800,4,2.144644021987915,0.30358116179704664,0.5362574219703674,0.11108848452568054,0.1075054407119751,0.18617534637451172,0.2694160044193268,0.1092265248298645,0.10633786767721176,0.37071508169174194,0.4264288544654846
1000,5,2.123997926712036,0.25101963579654696,0.5634455561637879,0.127593532204628,0.12278464436531067,0.15273624658584595,0.21784129738807678,0.118449866771698,0.11679361760616302,0.34563764929771423,0.4286978244781494
1200,6,2.1118438243865967,0.20446518883109094,0.5592259854078293,0.1425817906856537,0.13767693936824799,0.1592317819595337,0.23720818758010864,0.13297514617443085,0.12341167032718658,0.3835300803184509,0.42931145429611206
1400,7,2.1007132530212402,0.23107659835368394,0.6114176690578461,0.15674376487731934,0.15089359879493713,0.14897671341896057,0.21856731176376343,0.13513799011707306,0.13104280829429626,0.3934090733528137,0.47845399379730225
1600,8,2.0879087448120117,0.20417388826608657,0.6640409767627716,0.19943909347057343,0.1925736963748932,0.1098816841840744,0.1355932354927063,0.13929729163646698,0.13167044520378113,0.37862884998321533,0.4278916120529175
1800,9,2.080474853515625,0.14145794585347177,0.6131833732128144,0.18689748644828796,0.17861539125442505,0.13438169658184052,0.17595669627189636,0.1469460129737854,0.13458377122879028,0.37420523166656494,0.4624572694301605
2000,10,2.0721511840820312,0.16907457038760185,0.670941424369812,0.20986467599868774,0.20444566011428833,0.11881275475025177,0.14961126446723938,0.15466749668121338,0.14466285705566406,0.4032830595970154,0.4655899405479431
2200,11,2.0573818683624268,0.20739511102437974,0.64346062541008,0.20093950629234314,0.19350537657737732,0.11904370784759521,0.1547572910785675,0.14499697089195251,0.1404506266117096,0.40100038051605225,0.45904144644737244
2400,12,2.0658786296844482,0.13549377843737603,0.6508542001247406,0.1982598453760147,0.19033297896385193,0.12842077016830444,0.16000573337078094,0.1564672291278839,0.14962680637836456,0.4178926646709442,0.4983362555503845
2600,13,2.057293176651001,0.11469811573624611,0.6113555997610092,0.23354853689670563,0.22519990801811218,0.10154633969068527,0.1168033555150032,0.1492902636528015,0.1409722864627838,0.38361573219299316,0.46204522252082825
2800,14,2.0602755546569824,0.14121323451399803,0.6008618354797364,0.2237594872713089,0.21724280714988708,0.109890416264534,0.13900859653949738,0.16174434125423431,0.15181264281272888,0.41383951902389526,0.48314476013183594
