run_id,num_tasks,checkpoint_step,data_memorising/delta_vs_baseline_generalising,data_memorising/delta_vs_baseline_memorising,data_generalising/delta_vs_baseline_generalising,data_generalising/delta_vs_baseline_memorising,prompt_source,dist/ed_vs_baseline_generalising,dist/ed_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/sw_vs_baseline_memorising
lju0lrkc,1,100000,0.2743907868862152,3.285632192273624e-05,0.4936239123344421,3.298981755506247e-05,data_memorising,0.1423232903471216,0.0363571583293378,0.0432662490581913,0.0135286099675265
lju0lrkc,1,100000,0.2743907868862152,3.285632192273624e-05,0.4936239123344421,3.298981755506247e-05,prior,0.2025084197521209,0.0337307080626487,0.0651620173613879,0.0137696298568444
lju0lrkc,1,100000,0.2743907868862152,3.285632192273624e-05,0.4936239123344421,3.298981755506247e-05,data_generalising,0.2994641989935189,0.0433602841221727,0.0634873791523053,0.0143539980612563
17jinz16,2,100000,0.1709014624357223,0.0002339638303965,0.3005552887916565,0.0002672356495168,prior,0.1393824815750122,0.0161985680460929,0.0510847129295039,0.0128860124933592
17jinz16,2,100000,0.1709014624357223,0.0002339638303965,0.3005552887916565,0.0002672356495168,data_memorising,0.1289546586340293,0.0331085854268167,0.0407225220200792,0.0134523625931693
17jinz16,2,100000,0.1709014624357223,0.0002339638303965,0.3005552887916565,0.0002672356495168,data_generalising,0.2988420927431434,0.0409389105916488,0.0617106290296543,0.0143014790439081
dpymgbad,4,100000,0.1761799454689026,0.0006248687277548,0.2527537941932678,0.0010616553481668,data_generalising,0.2476431221002712,0.0370750045694876,0.0579831915672883,0.0152727467374957
dpymgbad,4,100000,0.1761799454689026,0.0006248687277548,0.2527537941932678,0.0010616553481668,data_memorising,0.1330067066010087,0.0311905517592094,0.0422500017426002,0.0139057114165238
dpymgbad,4,100000,0.1761799454689026,0.0006248687277548,0.2527537941932678,0.0010616553481668,prior,0.1126758456230163,0.0149960070848464,0.0481151508506644,0.0175077258054704
tqoxn029,8,100000,0.1383853107690811,0.0008231501560658,0.1768443882465362,0.0013491552090272,prior,0.0626982450485229,0.0066297054290771,0.036351317241014,0.0165093185238499
